Category,Category_n,protected,on_island,plantation,Region,area,perimeter,x,y
"3",Down,NO,NO,NO,Africa,0.000407266489333,0.071549534336478,35.5786376830,6.5043158691
"3",Down,NO,NO,NO,Africa,0.000405722297067,0.071413316355780,29.4763665442,4.1563733263
"3",Down,NO,NO,NO,Africa,0.000405678613518,0.071409394064386,29.3047049422,4.0454217707
"3",Down,NO,NO,NO,Africa,0.000405416065526,0.071386307868686,29.3210061033,3.5008746761
"3",Down,NO,NO,NO,Africa,0.000405656687505,0.071407557290387,25.5315561289,4.0356689462
"3",Down,NO,NO,NO,Africa,0.000405726228259,0.071413692926856,25.8906716277,4.1637427924
"3",Down,NO,NO,NO,Africa,0.000405525097271,0.071395848192093,25.7849281698,3.7657572810
"3",Down,NO,NO,NO,Australia,0.000450333101526,0.075398146747328,152.9587738015,-26.0315410605
"3",Down,NO,NO,NO,Australia,0.000406440087431,0.071476570562393,103.0301084998,5.3618999249
"3",Down,NO,NO,NO,Australia,0.000414901250906,0.072224885990542,106.2110297432,12.7548313544
"3",Down,NO,NO,NO,Australia,0.000422036096325,0.072859005092520,99.2035136808,16.4971846793
"3",Down,NO,NO,NO,Australia,0.000440966581209,0.074553350288152,96.3106970643,23.4153346935
"3",Down,NO,NO,NO,Australia,0.000434794470493,0.073998874227276,106.8768095351,21.4597320334
"3",Down,NO,NO,NO,Europe,0.000789110956930,0.107945408949895,23.9896705125,59.1507113706
"3",Down,NO,NO,NO,Europe,0.000520621944133,0.081859226422367,21.9650820829,38.9930663710
"3",Down,NO,NO,NO,Europe,0.000520639360332,0.081860439868291,21.9043136745,38.9938669909
"3",Down,NO,NO,NO,Europe,0.000658181779386,0.094997021170261,24.5936537067,52.0605728170
"3",Down,YES,NO,NO,Europe,0.000696235403893,0.098723356472328,23.5716550287,54.4653954591
"3",Down,YES,NO,NO,Europe,0.000695832742963,0.098683640071787,23.5136338870,54.4420430776
"3",Down,NO,NO,NO,Europe,0.000856315814190,0.114713496152950,45.9177967289,61.7996464024
"3",Down,NO,NO,NO,Europe,0.000981480141945,0.127498694161529,52.0342880129,65.6512930427
"3",Down,NO,NO,NO,Europe,0.000547370358650,0.084367906924756,-0.3794597654,42.3312698635
"3",Down,NO,NO,NO,Europe,0.000545087838930,0.084152846314598,-6.7401287354,42.0680638776
"3",Down,NO,NO,NO,Europe,0.000545074335434,0.084151500808023,-6.7366954885,42.0665347210
"3",Down,NO,NO,NO,Europe,0.000547095209157,0.084342124450559,-0.2901629506,42.3007922485
"3",Down,NO,NO,NO,NAmerica,0.000998345727567,0.129238598128342,-145.4631531674,66.0890759253
"3",Down,NO,NO,NO,NAmerica,0.000825311165045,0.111581978747082,-116.9021783668,60.6394550628
"3",Down,NO,NO,NO,NAmerica,0.000784949578247,0.107528765793553,-116.3986499744,58.9687747382
"3",Down,NO,NO,NO,NAmerica,0.000648351160180,0.094041411494442,-97.0687335992,51.3809170736
"3",Down,NO,NO,NO,NAmerica,0.000448080313845,0.075194696307681,-107.7219352793,25.4346946631
"3",Down,NO,NO,NO,NAmerica,0.000456943028894,0.075996761730112,-80.7408688003,27.6782215307
"3",Down,NO,NO,NO,NAmerica,0.000409309322606,0.071729919808983,-80.0685881035,8.6716474604
"3",Down,NO,NO,NO,NAmerica,0.000410045589319,0.071795022717241,-78.5674244271,9.3079275482
"3",Down,NO,NO,NO,NAmerica,0.000414545500576,0.072193452036952,-86.1016156652,12.5414024368
"3",Down,NO,NO,NO,NAmerica,0.000413897655790,0.072135941020257,-86.4545446315,12.1349975582
"3",Down,NO,NO,NO,NAmerica,0.000413117169217,0.072066822099607,-84.8546096077,11.6222517202
"3",Down,NO,NO,NO,NAmerica,0.000419057522549,0.072594010810820,-87.9100662655,15.0723212890
"3",Down,NO,NO,NO,NAmerica,0.000433626264112,0.073894191024586,-89.3598427770,21.0631082445
"3",Down,NO,NO,NO,NAmerica,0.000422791005576,0.072926087000610,-98.1667696744,16.8354843270
"3",Down,NO,NO,NO,NAmerica,0.000428988526664,0.073479289029395,-104.1573652200,19.3948368684
"3",Down,NO,NO,NO,NAmerica,0.000451481279697,0.075501943559572,-108.5073244989,26.3224181840
